Cluster 1:
1317.67 7518.46
1317.11 7521.37
1317.11 7521.37
1316.49 7530.07
1320.08 7538.74
1321.65 7544.56
1323.44 7553.3
1324.93 7562.08
1326.92 7570.9
1328.64 7579.73
1330.1 7597.61
1328.47 7606.7
1329.65 7615.74
1332.78 7624.75
1332.89 7627.8
1331.34 7633.89
1325.3 7649.23
1325.65 7667.53
1330.69 7688.95
1330.37 7713.96
1333.43 7729.76
1332.38 7736.16
1332.6 7742.53
1334.54 7764.54
1339.9 7795.73
1341.09 7827.2
1344.86 7852.0
1348.13 7901.84
1346.09 7960.98
1353.18 8050.28
1360.69 8144.52
1375.12 8225.3
1376.55 8296.67
1359.79 8347.02
1365.25 8397.27
1363.5 8468.04
1266.91 5768.2
1358.69 8519.82
1280.96 5910.58
1380.84 8572.33
1259.44 6097.22
1313.89 7182.93
1314.06 7179.69
1314.78 7176.42
1315.45 7166.66
1318.21 7160.08
1320.86 7150.23
1316.41 7127.35
1317.48 7097.73
1316.47 7081.22
1319.32 7051.38
1316.8 7015.35
1317.8 7002.26
1315.1 6966.05
1315.14 6943.02
1308.94 6903.78
1308.88 6864.61
1308.95 6841.96
1306.52 6829.1
1305.43 6822.62
1304.73 6806.39
1305.67 6793.37
1302.1 6773.81
1301.32 6727.83
1301.3 6682.18
1300.74 6633.54
1299.89 6598.29
1299.33 6585.53
1299.24 6582.34
1298.26 6588.76
1297.31 6611.22
1301.51 6659.82
1302.01 6742.17
1297.39 6953.73
1292.01 6360.43
1291.79 6351.02
1292.47 6344.74
1292.37 6335.29
1287.29 6306.85
1289.46 6268.45
1286.76 6175.85
1281.79 6006.63
1262.1 5710.94
1256.81 5736.09
1259.72 5758.73
1263.97 5781.5
1266.89 5801.22
1264.83 5807.98
1264.27 5814.74
1267.65 5828.13
1269.21 5847.84
1272.91 5874.71
1272.17 5894.55
1273.95 5918.19
1280.15 5945.14
1287.36 5965.51
1283.65 5979.24
1282.94 5989.08
1286.02 6023.92
1278.5 6048.29
1276.36 6069.98
1279.38 6094.85
1277.24 6119.14
1274.68 6154.86
1275.95 6194.32
1268.65 6247.64
1270.71 6290.06
1278.23 6353.08
1270.6 6412.92
1268.62 6459.23
1274.39 6519.45
1276.97 6556.06
1271.97 6549.6
1285.14 6529.16
1303.96 6467.9
1369.72 6352.4
1474.27 6189.39
1562.61 6120.38
1226.32 7011.83
1223.87 6931.54
1223.65 6806.39
1226.37 6660.23
1226.91 6515.34
1217.89 6298.41
2256.0 6180.0
2143.0 6167.0
1732.0 6124.0
1595.0 6122.0
1578.0 6137.0
408.0 6081.0
249.0 6175.0
167.0 6183.0
1232.28 6257.66
1114.25 6597.47
2480.0 6648.0
2468.0 6495.0
2462.0 6927.0
2458.0 6947.0
1028.0 6865.0
282.0 6472.0
114.0 6733.0
97.0 6687.0
68.0 6417.0
55.0 6750.0
26.0 6830.0
1219.56 5927.1
1266.01 5798.4
1271.37 5992.1
2426.0 5777.0
2402.0 5858.0
2369.0 5868.0
2294.0 5849.0
131.0 5820.0
73.0 5749.0
72.0 5773.0
1184.76 8420.51
1188.71 8426.71
1192.55 8435.89
1188.65 8460.24
1194.36 8475.98
1191.46 8479.04
1187.46 8485.19
1186.86 8488.32
1186.86 8488.32
1186.86 8488.32
1184.57 8491.37
1188.3 8497.75
1189.17 8504.05
1188.21 8516.57
1183.99 8525.89
1177.04 8538.32
1173.72 8544.6
1176.43 8547.93
1177.75 8554.42
1179.41 8560.89
1176.85 8567.08
1174.61 8579.62
1175.85 8585.98
1177.81 8592.31
1172.63 8613.88
1172.48 8626.34
1165.86 8647.86
1164.8 8663.42
1164.43 8672.71
1162.34 8681.96
1161.76 8678.8
1165.01 8666.45
1158.34 8650.27
1165.71 8602.8
1166.85 8553.99
1144.67 8483.17
1060.45 8286.64
1208.82 7969.71
1208.82 7969.71
1208.9 7966.18
1206.61 7959.1
1205.34 7952.0
1204.42 7937.83
1203.73 7923.75
1202.1 7909.74
1203.49 7906.27
1203.49 7906.27
1205.4 7902.78
1205.42 7899.26
1205.55 7895.73
1207.03 7892.18
1208.13 7888.61
1209.03 7881.42
1211.56 7870.69
1212.63 7859.97
1211.07 7852.81
1208.81 7845.64
1203.9 7824.09
1204.75 7806.29
1203.07 7792.04
1203.22 7788.48
1203.22 7788.48
1202.16 7781.26
1204.79 7770.44
1204.85 7763.19
1204.09 7748.6
1211.52 7712.1
1211.57 7679.11
1213.22 7649.47
1215.42 7605.45
1214.72 7565.19
1219.7 7502.53
1221.79 7465.97
1218.05 7440.16
1222.39 7402.83
1224.29 7331.76
1224.6 7257.14
1230.51 7190.66
1226.55 7098.71
1209.37 8052.97
1210.26 8056.73
1211.24 8060.52
1211.11 8064.3
1211.35 8068.07
1213.11 8075.61
1211.25 8079.35
1206.9 8086.75
1209.55 8105.27
1210.7 8127.22
1200.51 8171.41
1196.02 8211.98
1196.82 8279.17
1197.93 8344.8
1189.97 8432.31
1182.03 8498.27
1190.53 8572.61
1178.49 8639.8
1171.14 8703.77
1165.58 8791.65
1203.07 8915.23
1332.23 9025.08
2499.0 8603.0
2494.0 7282.0
2492.0 8771.0
2489.0 8794.0
2488.0 9562.0
2485.0 9110.0
2482.0 8445.0
2477.0 8373.0
2474.0 9573.0
17.0 8079.0
9.0 9409.0
1232.58 3846.39
1233.28 3849.33
1235.16 3855.12
1236.04 3866.93
1231.99 3881.75
1230.31 3893.53
1225.03 3914.23
1223.18 3931.98
1222.56 3952.71
1220.57 3964.63
1220.32 3991.23
1222.08 4005.92
1222.18 4020.71
1223.23 4038.48
1222.73 4062.34
1221.07 4089.38
1228.8 4116.14
1234.32 4145.98
1230.59 4175.8
1233.3 4208.16
1231.51 4228.68
1231.21 4249.36
1235.13 4276.04
1229.86 4323.37
1227.85 4403.13
1230.41 4495.14
1233.19 4588.59
1237.19 4712.66
1245.69 4840.21
1239.49 4993.94
1244.86 5125.78
1242.92 5261.19
1247.0 5396.67
1259.75 5510.26
1260.19 5632.73
1219.84 3809.88
1227.29 3902.5
1219.93 4024.35
1229.68 4161.7
1226.34 4128.23
1225.48 4117.47
1225.71 4113.9
1229.45 4096.09
1235.41 4074.91
1237.95 4060.87
1237.0 4039.89
1235.39 4018.75
1237.29 4004.67
1236.83 3997.49
1236.95 3990.21
1237.53 3975.69
1234.74 3957.51
1236.93 3942.96
1233.44 3931.93
1235.74 3917.3
1233.49 3910.01
1231.66 3895.45
1227.32 3884.57
1225.5 3873.78
1221.22 3859.33
1220.16 3844.81
1223.13 3826.45
1225.87 3808.06
2404.0 4032.0
2241.0 4017.0
2232.0 3931.0
2227.0 3879.0
2215.0 3840.0
2186.0 3955.0
2133.0 4077.0
2130.0 3828.0
2121.0 3877.0
2109.0 3991.0
239.0 4117.0
198.0 3948.0
139.0 3946.0
63.0 3965.0
60.0 3901.0
1236.86 4260.99
1228.03 4356.02
1188.25 4436.89
1043.4 4539.71
834.282 4582.31
606.137 4540.84
1234.43 4341.81
1233.96 4345.84
1234.6 4349.86
1233.65 4353.68
1231.72 4365.55
1230.6 4373.41
1230.02 4381.48
1232.85 4393.56
1231.71 4409.55
1226.45 4425.41
1228.88 4441.41
1229.69 4485.6
1234.97 4541.33
1230.48 4613.93
1241.16 4698.74
1254.39 4795.13
1250.68 4911.1
2447.0 4614.0
2438.0 4291.0
2433.0 4738.0
2428.0 4874.0
2413.0 4578.0
2378.0 4864.0
2295.0 4649.0
279.0 4204.0
253.0 4855.0
158.0 4657.0
122.0 4444.0
107.0 4464.0
25.0 4339.0
1289.5 5660.38
1263.64 5624.5
1264.09 5627.72
1266.3 5630.91
1267.82 5634.13
1263.63 5650.02
1258.65 5675.67
1224.53 5356.78
1250.64 5028.15
1246.85 5166.85
1259.26 5291.34
1249.8 5481.65
1257.84 5631.76
2451.0 5160.0
2439.0 5124.0
2436.0 5560.0
1232.58 3846.39

Cluster 2:
1202.28 -3753.14
1198.98 -3747.28
1199.21 -3741.35
1195.19 -3729.51
1195.19 -3729.51
1198.45 -3723.56
1200.13 -3717.44
1197.48 -3711.47
1197.48 -3711.47
1197.62 -3699.25
1196.87 -3680.94
1195.48 -3650.59
1196.2 -3626.42
1193.96 -3572.08
1197.5 -3530.46
1205.92 -3489.07
1192.57 -3419.1
1192.72 -3355.88
1193.38 -3276.96
1181.58 -3204.71
1188.34 -3109.34
1190.72 -2982.23
1203.58 -2827.02
1198.9 -2646.96
1204.19 -2469.82
1203.91 -2290.63
1207.14 -2178.08
1210.42 -2080.56
1208.32 -2000.83
1203.48 -1930.41
1202.15 -1877.66
1239.08 -1836.02
1215.57 -4960.35
1268.23 -4791.25
1249.05 -4915.29
1249.55 -5027.89
1256.97 -5155.2
1257.66 -5279.18
1240.15 -4966.93
2258.0 -4923.0
2054.0 -4945.0
1837.0 -5277.0
35.0 -4937.0
1201.79 -1898.5
1201.91 -1903.5
1202.81 -1912.45
1202.99 -1924.32
1203.18 -1936.25
1203.8 -1948.18
1206.1 -1975.85
1205.63 -2071.02
1207.47 -2171.21
1201.63 -2246.34
1195.85 -2314.57
1194.16 -2399.89
1197.56 -2483.02
1200.99 -2551.03
1192.1 -2621.45
1190.49 -2704.38
1194.37 -2788.18
1191.65 -2864.93
1191.14 -2950.79
1189.04 -3027.72
1185.06 -3092.84
1185.69 -3177.57
1190.56 -3258.98
1178.18 -3373.04
1182.14 -3548.51
1196.44 -3753.48
1188.96 -3963.43
1215.14 -4178.35
1234.68 -4382.32
1229.08 -4610.94
1282.08 -4208.58
1280.45 -4205.34
1279.4 -4198.84
1278.91 -4195.57
1276.92 -4189.05
1278.63 -4182.45
1279.78 -4175.87
1279.78 -4175.87
1281.28 -4169.05
1280.31 -4159.08
1282.41 -4155.74
1282.78 -4152.41
1284.35 -4138.96
1287.28 -4118.81
1282.29 -4098.87
1285.88 -4065.13
1283.01 -4021.56
1280.59 -3975.04
1280.19 -3939.28
1278.07 -3916.42
1276.72 -3900.27
1276.52 -3874.0
1276.2 -3844.04
1272.06 -3804.2
1279.79 -3764.21
1277.77 -3683.49
1275.72 -3605.29
1274.88 -3493.14
1269.11 -3361.22
1272.82 -3851.96
1272.09 -3855.34
1273.81 -3858.7
1273.81 -3858.7
1276.48 -3865.39
1277.91 -3872.12
1280.67 -3878.87
1280.67 -3878.87
1282.39 -3889.17
1282.6 -3892.67
1278.18 -3903.04
1277.41 -3930.6
1277.71 -3958.23
1280.14 -3989.3
1282.13 -4023.89
1285.65 -4041.39
1286.43 -4052.02
1285.73 -4062.71
1284.72 -4077.09
1280.71 -4087.97
1283.54 -4102.41
1283.94 -4109.7
1285.87 -4113.32
1283.82 -4120.67
1279.16 -4135.44
1283.64 -4164.76
1281.15 -4190.69
1279.08 -4213.01
1282.51 -4254.12
1283.96 -4302.86
1280.77 -4374.39
1284.22 -4415.99
1288.13 -4460.99
1289.22 -4506.19
1280.91 -4543.92
1277.74 -4600.13
1273.26 -4682.74
1278.7 -3374.52
1279.49 -3702.85
1285.8 -4104.86
1278.5 -4500.71
1276.1 -3689.25
1274.65 -3685.5
1274.81 -3674.04
1270.98 -3658.74
1269.2 -3639.59
1271.96 -3616.37
1273.94 -3589.03
1267.75 -3561.91
1270.66 -3534.77
1273.75 -3519.25
1278.13 -3496.26
1275.44 -3469.3
1268.2 -3430.37
1269.96 -3383.88
1271.56 -3337.35
1265.69 -3298.95
1260.28 -3256.56
1263.41 -3194.65
2500.0 -3318.0
2498.0 -3775.0
2496.0 -4303.0
